IngresoMensual,HorasSemanales,NumTrabajadores,AñosEstudio
100,4,50,10
 , , ,18
 , , ,10
 , , ,
 , , ,8
 , , ,
 , , ,
1300,40,30,10
 , , ,
4500,55,6000,20
1800,40,200,14
1949,48,18,15
3460,48,500,13
 ,16,4,5
 , , ,16
 , , ,11
1299,37,2,13
 , , ,13
1289,45,1,11
390,9,3,8
1010,30,1,15
 , , ,14
730,27,2,5
 , , ,6
 , , ,
1768,48,2,11
2050,55,50,20
2200,46,20,23
 , , ,14
1100,48,1,16
1700,40,9888,9
 , , ,
 , , ,
 , , ,13
866,48,4,13
 , , ,1
873,80,1000,13
 ,18,2,19
 , , ,1
900,25,1,13
260,8,2,10
1227,42,1,5
 , , ,11
 , , ,16
1400,54,2,14
 ,25,2,10
 , , ,
1160,40,5000,14
 , , ,
2850,99,1,14
 ,21,3,14
 , , ,14
1308,105,3,13
 , , ,
 , , ,
1650,48,3000,16
 , , ,11
 , , ,
 , , ,13
 , , ,
 , , ,
 , , ,16
1300,67,1,14
1080,37,1,14
1500,60,2,11
 ,28,2,11
1350,66,1000,14
700,25,5,16
 , , ,11
 , , ,13
2400,50,25,14
 , , ,15
 , , ,10
 , , ,13
2500,48, ,16
2100,50,60,10
 , , ,8
 , , ,14
 , , ,11
 , , ,16
1581,60,1,16
1842,70,1,10
 , , ,13
1000,50,1,11
 , , ,10
 , , ,13
650,42,1,11
 , , ,13
 , , ,11
 , , ,11
400,20,1,11
 , , ,10
1200,66,1,14
1800,48,50,16
 , , ,16
 , , ,11
1500,66,1,13
1000,70,1,11
880,42,3,11
1100,44,300,21
1599,66,4,14
1200,62,3,10
1450,78,1,20
 , , ,13
 , , ,
 , , ,
 , , ,16
 , , ,11
 , , ,
2000,30,1000,19
1200,48,800,16
 , , ,13
 , , ,
 , , ,14
5260,60,3000,20
3500,69,1200,24
2200,43,6,20
3500,50,30,19
2200,50,1,14
 , , ,15
 , , ,13
 , , ,8
 , , ,20
 , , ,17
 , , ,
 , , ,
1300,48,100,17
 , , ,
 , , ,
 , , ,16
 , , ,
 , , ,
 , , ,16
 , , ,8
1235,8,1,14
4016,48,3,14
 , , ,
 , , ,
 , , ,9
 , , ,14
1650,72,3,14
 , , ,17
 , , ,19
 , , ,19
 , , ,11
 , , ,6
650,52,1,10
337,42,3,13
650,35,2,15
3600,74,1,16
280,27,1,17
1386,48,2,15
 , , ,6
 , , ,
 , , ,5
 , , ,
 , , ,15
 , , ,14
 , , ,5
1400,30,600,21
520,48,3,14
 , , ,14
1500,60,9800,13
1025,48,1000,17
2800,48, ,13
1500,60,2,15
2800,51,50,22
 , , ,20
1117,40,2,8
980,40,4,9
 , , ,10
 , , ,9
1090,62,1,14
1299,50,1,13
600,36,40,13
1300,73,1,21
520,8,2,17
 , , ,13
 , , ,6
1025,48,9998,16
1200,36,2800,16
 , , ,8
1200,54,10,14
 , , ,10
 , , ,10
1432,66,2,15
1776,48,4,18
1960,70,4000,11
823,30,1,13
1025,30,70,17
 , , ,14
585,48,200,10
1663,77,7,13
607,24,3,11
1663,77,7,14
825,58,4,11
 , , ,11
2440,36,1000,13
1200,36,600,16
 , , ,
 , , ,
 , , ,10
 , , ,
810,20,1,13
1417,40,2,11
5000,45,6,19
390,15,2,16
1500,69,1,13
513,21,1,11
 , , ,1
1836,50,5,14
3400,45,2,13
2300,46,500,15
 , , ,13
 , , ,16
 , , ,17
1700,48,150,17
 , , ,1
 , , ,14
 , , ,10
 , , ,13
217,21,1,15
1265,55,1000,13
1025,48,6000,13
 , , ,11
1500,48,1000,13
1155,48,1000,13
1020,60,1,14
1100,48,1000,16
 , , ,14
 , , ,14
1500,45,2000,15
1500,72,60,14
 , , ,14
1100,48,2000,13
 , , ,13
903,41,3,13
 , , ,13
250,8,3,10
2390,54,20,14
85,5,1,9
 , , ,13
 , , ,11
1878,48,3,14
 , , ,15
 , , ,14
2600,32,1000,17
3120,28,1000,19
 , , ,11
 , , ,5
 , , ,14
3420,52,58,14
 , , ,8
650,6,7,10
 , , ,10
1190,58,2,14
1370,48,10,13
 , , ,
 , , ,
 , , ,13
3630,48,600,14
 , , ,10
1271,50,1,13
918,36,1,16
918,36,1,15
895,40,1,15
90,15,1,17
675,8,6,13
1299,40,112,11
 , , ,14
 , , ,14
1516,48,50,17
 , , ,16
2270,72,5000,16
2500,54,9998,22
 ,39,2,10
1500,72,5,13
 , , ,5
 , , ,6
2598,45,6,13
1299,72,10,17
1366,35,1,15
1179,27,1,11
1732,70,2,13
52,8,4,14
960,42,2,16
 , , ,14
722,30,2,6
 , ,2,0
990,60,1,9
 , , ,8
3110,40,1500,14
 , , ,14
 , , ,14
289,12,2,6
 , , ,0
22,2,1,10
2000,48,20,22
 , , ,
3785,60, ,14
 , , ,13
 , , ,16
 , , ,9
1585,48,1000,9
840,91,1,13
303,30,9998,14
1925,58,500,20
3500,49,9998,22
 , , ,15
 , , ,14
 , , ,22
1025,30,10,22
 , , ,14
1083,33,2,14
1039,40,500,21
1200,54,6000,19
2165,84,2,16
 , , ,19
2830,84,1,13
1605,93,4,16
1117,60,4,13
1028,36,1,13
10000,72,7,15
 , , ,14
 , , ,13
 , , ,9
 , , ,21
15000,54,4,16
 , , ,20
1400,40,1000,19
1700,30,300,14
2000,48,2,22
1341,9,1,22
2598,12,4,20
 , , ,20
3900,46,8000,22
 , , ,16
 , , ,
 , , ,14
3460,45,1000,14
573,13,1,17
 , , ,13
 , , ,10
 , , ,11
512,28,20,19
 , , ,10
 , , ,1
 , , ,
 , , ,
 , , ,10
 , , ,16
2800,30,1000,16
5407,44,300,16
 , , ,24
 , , ,10
2750,48,1000,13
433,20,3,22
 , , ,11
1392,72,300,10
 , , ,5
 , , ,9
 , , ,6
1365,48,1,13
1050,54,1,10
 , , ,16
700,24,1,15
 , , ,
 , , ,17
1900,30,40,19
1110,10,1,19
 , , ,5
 , , ,16
600,50,1,17
 , , ,11
1040,57,8,13
2400,48,2,15
 , , ,13
1906,54,2,15
2165,45,12,14
8000,40,850,16
1530,46,668,17
1025,44,660,22
433,40,688,13
3500,40,668,18
1560,40,668,21
 , , ,14
 , , ,13
 , , ,14
2500,40,12,20
 , , ,20
 , , ,21
1980,70,1,14
1502,36,1,14
 , , ,
1800,57,350,14
1339,36,10,13
603,70,3,16
 , ,3,13
800,50,3,17
 , , ,1
1819,46,4,9
 , , ,11
3000,54,9000,21
 , , ,9
2800,66,400,22
 , , ,15
200,4,1,20
2000,56,1,13
600,29,1,13
1542,60,40,14
 , , ,5
1200,45,1,13
1562,58,40,9
 , , ,11
 , , ,10
 , , ,9
 , , ,10
 , , ,14
1800,65,9000,14
1450,19,1,22
1050,66,1,17
3000,78,1500,16
2310,38,2,24
600,40,1,18
1500,39,30,14
92,2,1,13
736,39,10,14
 , , ,
1025,40,2000,20
 , , ,16
260,10,3,11
2600,48,6,22
2600,56,500,17
 , , ,17
 , , ,13
1500,74,50,15
682,18,1,20
 , , ,11
1351,36,3,14
900,48,1,13
1383,42,6,13
1039,24,15,8
 , , ,10
2100,49,5,14
473,16,2,5
 , , ,16
 , , ,
 , , ,
 , , ,
3300,52,30,19
2500,30,1000,21
 , , ,20
 , , ,13
 , , ,
 , , ,
 , , ,13
 , , ,
6050,70,501,22
 , , ,24
 , , ,11
1200,48,2,14
 , , ,14
624,22,10,11
 , , ,11
1241,60,1,16
 , , ,13
2500,75,1,18
1700,45,5,13
1770,72,4,13
1500,63,1,13
 , , ,13
4200,46,50,21
390,7,2,17
1370,34,1,15
2500,40,1000,17
 , , ,13
 , , ,
 , , ,13
1299,48,2,8
 , , ,16
100,7,1,13
 , , ,14
 , , ,19
 , , ,16
 , , ,5
746,35,2,11
 ,56,2,17
260,6,4,20
1500,48,6,22
1600,48,6,23
 , , ,9
 , , ,
 , , ,10
2400,52,1200,16
510,36,2,15
500,10,1,10
3100,50,50,23
 , , ,22
7000,40,9998,27
880,40,1,15
1025,48,1000,22
 , , ,
 , , ,13
5000,42,9998,27
 , , ,19
 , , ,9
 , , ,
 ,63,3,13
3365,66,3,14
 , , ,17
 , , ,11
1800,35,800,22
1460,43,2,24
 , , ,13
1248,29,1,16
1916,53,1,8
1900,43,1,14
1039,48,3,14
650,23,5,13
470,11,3,6
 ,60,2,10
2032,48,4,14
 , , ,14
1850,66,1,13
500,26,1,10
 , , ,8
974,50,3,9
 , , ,11
1025,48,300,15
1250,70,1,14
 , , ,21
850,62,1,10
 , , ,11
 ,34,2,10
1530,60,1,10
1000,70,1,13
3100,48,1000,21
 , , ,6
 , , ,
1800,36,55,17
 , , ,6
3760,40, ,16
3560,40, ,16
 , , ,19
 , , ,13
 , , ,13
3000,54,9990,15
2001,72,1,13
 , , ,16
3000,48,30,14
 , , ,14
 , , ,13
500,12,1,8
4212,50,40,21
200,10,1,16
 , , ,13
1800,45,50,13
 , , ,14
 , , ,14
 , , ,11
2000,50,180,13
 , , ,15
 , , ,11
 , , ,16
1400,45,40,13
1299,45,4,14
 , , ,10
1625,70,200,14
 , , ,13
1500,60,12,14
 , , ,14
 , , ,10
 , , ,9
 , , ,13
 , , ,14
1025,48,200,11
1500,48,600,16
1400,40,9998,16
2700,69,2,10
823,52,2,13
2400,46,540,17
 , , ,16
10000,82,16,21
1750,38,1,5
43,9,8,11
5500,88,1,11
1417,39,3,16
2382,40,20,10
 , , ,14
7416,56,1600,14
 , , ,13
1730,64,600,20
1200,48,9998,10
1600,70,2,9
1500,48,555,13
 , , ,14
10000,40,80,16
 , , ,13
 , , ,16
400,24,1,10
2090,49,520,13
 , , ,11
200,7,1,11
 , , ,8
 ,35,3,8
2409,62,40,16
 ,30,3,14
 , , ,13
 , , ,10
720,3,1,17
 , , ,14
2800,40,10,18
 , , ,20
 , , ,21
625,20,1,16
132,4,1,10
2066,60,1,14
 , , ,14
1025,48,200,14
2100,59,3000,8
 , , ,9
1329,30,1,13
1025,48,500,14
1474,60,2,9
 , , ,23
1100,49,24,22
1600,63,4,14
 ,42,4,1
1700,84,1,13
 ,28,4,17
3031,74,100,17
1520,77,2,13
1160,55,200,17
1230,50,1,11
800,17,1,14
2100,48,6,18
1110,89,3,17
1571,78,1,16
 , , ,
3000,50,11,21
 , , ,
 , , ,
 , , ,23
506,16,1,14
 , , ,15
1700,42,150,17
 , , ,14
 , , ,9
2100,78,1,13
520,22,2,5
1500,40,9800,13
1299,40,5,15
 , , ,13
 , , ,16
2174,66,1,16
2000,20,10,21
 , , ,13
 , , ,13
 , , ,5
 , , ,13
1200,40,2,13
 , , ,14
1025,60,600,14
433,16,4,11
2000,53,9998,14
1899,32,1,23
1317,55,4000,13
660,12,2,11
 , , ,11
2104,40,4000,24
 , , ,
 , , ,
 , , ,10
2500,60, ,13
690,15,2,13
 , , ,
 , , ,10
 , , ,
 , , ,
 , , ,
 , , ,24
 , , ,13
 , , ,17
 , , ,28
2500,48, ,17
 , , ,16
 , , ,21
 , , ,22
3200,45,8,23
 , , ,8
 , , ,8
 , , ,18
 , , ,14
60,42,1,13
 , , ,19
 , , ,10
 , , ,
 , , ,
 , , ,13
 , , ,13
1460,66,10,14
3000,80,3,13
2213,69,2,14
300,36,250,14
 , , ,14
 , , ,10
180,18,1,16
 , , ,11
 , , ,14
 , , ,14
 , , ,14
1025,48,5000,13
 , , ,13
 , , ,17
 , , ,
952,36,40,16
4200,45,150,17
 , , ,
 , , ,
2500,54,1,16
866,20,1,10
1400,48,10,14
1250,48,10,16
1350,48,10,21
3400,50,7000,22
 , , ,
 , , ,
 , , ,
 , , ,
 , , ,13
 , , ,16
 , , ,9
 , , ,
 , , ,
 , , ,9
 , , ,22
 , , ,21
 , , ,24
650,8,1,16
 , , ,14
 , , ,17
1000,30,2,21
1200,20,1,20
4000,45,80,22
 , , ,19
 , , ,5
 , , ,18
 , , ,
960,15,1,23
 , , ,
 , , ,
 , , ,16
3000,28,1,23
3100,46,9000,15
5100,108,30,15
3000,40,9998,17
2300,40,9998,13
 , , ,14
1000,53,20,16
 , , ,13
 , , ,14
1480,70,1,14
 , , ,14
 , , ,14
 , , ,
 , , ,13
2200,49,100,20
2000,48,600,14
50,5,1,17
 , , ,14
 , , ,11
 , , ,13
2200,40,4500,16
 , , ,10
 , , ,13
 , , ,21
 , , ,15
3200,40,20,21
3950,40,1000,22
1600,45,10,24
 , , ,17
 , , ,13
4000,40,700,26
 , , ,18
1580,84,2,13
 ,80,2,16
 , , ,17
800,35,1,13
 , , ,13
 , , ,
 , , ,
 , , ,10
730,54,1,13
1390,48,2,13
800,36,1,14
 , , ,13
 , , ,
 , , ,
1200,25,20,13
 , , ,21
 , , ,
 , , ,
 , , ,
 , , ,
 , , ,
 , , ,14
 , , ,
 , , ,10
 , , ,18
 , , ,8
 , , ,16
 , , ,
 , , ,
2000,48,10,21
900,24,1,11
 , , ,10
900,48,1,16
144,4,2,8
1300,48,250,15
1025,48,510,13
 , , ,11
1747,81,3,8
1200,83,1,9
 , , ,10
 , , ,10
 , , ,8
1101,99,1,13
 , , ,11
 , , ,11
5673,60,1,11
 , , ,14
3100,36,1500,13
767,51,2,14
 ,30,2,10
1040,40,1999,14
3,15,2,15
 , , ,11
 , , ,16
2165,48,3,14
 , , ,5
1350,49,2,10
 , , ,11
 , , ,5
217,8,2,10
1500,46,1,6
 , , ,
1050,24,1,9
2720,72,1,6
 , , ,16
 , , ,11
 , , ,16
1025,70,300,5
 , , ,11
 , , ,10
1300,48,1000,16
350,24,1,8
1700,66,1800,14
 , , ,21
 , , ,13
360,18,1000,15
 , , ,0
1400,48,5,13
1430,40,25,23
2559,40,500,16
5120,48,700,16
1600,48,50,19
 , , ,22
4900,43,1100,20
400,44,1,16
18000,53,21,20
 , , ,14
 , , ,10
 , , ,16
 , , ,13
1400,40,25,21
 , , ,17
 , , ,13
 , , ,13
4930,32,1,22
150,28,1,15
 , , ,10
2500,36, ,20
205,18,1,14
 , , ,20
 , , ,6
 , , ,9
 , , ,20
2390,33,1000,16
2390,33,1000,16
 , , ,17
 , , ,11
 , , ,14
 ,63,2,16
900,18,6,23
3230,37,2,19
 , , ,16
 , , ,15
1500,50,30,22
1200,44,5000,9
 , , ,5
1025,48,9998,17
741,36,1,14
1500,40,50,17
 , , ,11
 , , ,9
25,28,1,9
1473,20,4,11
 , , ,
1550,62,500,11
1025,48,4,13
 , , ,13
3200,48,500,17
1200,40,2,14
1480,46,200,14
 , , ,8
 , , ,13
 , , ,17
 , , ,5
 , , ,18
 , , ,14
1167,24,2,9
 , , ,22
887,24,7,10
780,24,2,14
 , , ,
 , , ,9
1299,60,20,10
2273,54,30,16
 , , ,14
1000,25,1,13
 , , ,20
2668,48,1800,16
 , , ,17
 , , ,14
1299,48,3,14
 , , ,14
 , , ,
 , , ,14
 , , ,
1484,86,1,16
 , , ,22
683,70,2,13
5000,76,25,23
 , , ,13
 , , ,9
1300,40,5,17
1025,48,550,17
 , , ,
 , , ,
2000,45,20,21
 , , ,13
1025,40,50,17
 , , ,9
650,20,1,14
1420,37,9,13
 , , ,13
1000,40,2000,18
 , , ,21
 , , ,11
 , , ,13
 , , ,
 , , ,
 , , ,
 , , ,
